index,_source.ping,_source.download,_source.upload
AVJlq361iY43Jv3eX0hK,68.534,278.1,14.4
AVJ5oC1jpNeT6-VcQu3U,130.048,282.59,26.04
AVJ5u4lapNeT6-VcQu3V,90.234,345.36,47.23
AVJ_9KG8tBdBM4YfMA09,152.644,426.55,9.7
AVKEPxIRVG4qhkG5xi7o,84.589,597.46,14.5
AVKJ0x45Uh2c4ge8064Z,55.723,833.21,67.87
AVJkBY23SrDTrXg4plDX,52.078,764.3,70.36
AVKIN07v1-IoxlsSY9En,53.37,733.53,42.09
AVKSTNghEmL7jBW9sIpU,154.138,360.74,0
AVKSn7unEmL7jBW9sIpY,195.62,211.78,44.95
AVKSutkTEmL7jBW9sIpZ,67.671,433.32,39.1
AVKeGqjy9Nf0hOj-hf2v,79.328,398.72,10.59
AVKmr-frTb4iD99MradM,139.931,241.76,29.49
AVKShFBSEmL7jBW9sIpX,56.579,550.07,28.45
AVKcjHTND9-J9OThu1ys,64.664,358.94,5.56
AVKcmbSZD9-J9OThu1yx,197.228,185.58,10.03
AVKmnQaeTb4iD99MradK,78.62,335.23,0
AVKmyzX-Tb4iD99MradN,112.304,336.52,35.16
AVKuFu8Zla0j39v5IbkR,60.751,437.36,22.34
AVKxM3YJngG8B2OEHX-L,80.525,221.37,43.27
AVK85S_HdrcoVnJpWLAC,107.813,168,33.36
AVLBna0T8uCvMwS4XxJU,120.187,81.45,27.25
AVLMmSXBfBxvzlSSDGj6,48.124,841.42,46.38
AVMKw-Qwk903wBIXdPoO,76.332,575.75,6.75
AVK9N5ZldrcoVnJpWLAF,71.643,139.63,6.77
AVK9AEPKdrcoVnJpWLAD,98.92,80.36,0
AVNXEUXWnpR_PNX8I6em,57.026,1099.91,30.03
AVNW2j_unpR_PNX8I6ek,57.589,825.9,22.08
AVMzmmJVyDF4XZypKInt,89.326,420.23,0
AVMzxNkJyDF4XZypKInv,58.853,591.76,0
AVMkjWvOKodYmN8i_ssM,49.363,1067.95,50.7
AVMUjJnm68sla7A6Fa07,58.223,603.38,15.1
AVMZKcT4UJ8YOduz7nSa,67.713,1094.17,19.31
AVMj0FCZA2zIgVADLV-V,62.053,1031.69,17.7
AVMuFWmFBs9GBwZ63mvM,58.859,731.66,21.19
AVNiA0kO4z9A7pxcIgKm,102.701,376.06,13.91
AVNcDXdGPnKhxn8znTTE,65.715,755.79,40.92
AVNhsJv44z9A7pxcIgKj,53.935,1294.2,6.73
AVNmQ_xQ05pNF-8vrrGV,68.165,358.29,12.52
AVNqYUSgv-dQ3RmIRhS-,98.885,471.9,15.7
AVNXY34cnpR_PNX8I6ep,83.769,336.67,0
AVNhlQ_P4z9A7pxcIgKi,135.307,185.43,13.26
AVNmTgcu05pNF-8vrrGZ,71.329,225.57,25.3
AVNiXiS0C0xWdBMu0LBM,55.16,843.56,16.01
AVNsT5WdO9ixzk3ZULui,58.692,1016.74,54.19
AVNq6nr_v-dQ3RmIRhTL,58.397,869.41,14.14
AVNwudbqcQp15pmC-_gy,58.507,489.76,22.33
AVNxI3b5cQp15pmC-_hB,111.625,259.22,0
AVNxWutucQp15pmC-_hF,81.565,544.67,31.99
AVN7cBe2gsdpRfyYG7Qa,210.601,224.59,14.44
AVN7i_c5gsdpRfyYG7Qc,103.649,360.62,5.01
AVOAKV1okFJNaIm13xC7,85.543,324.87,18.53
AVN3DI0sqFR1KAJFoVGI,63.856,636.98,22.42
AVOFiFluTy6iF4N1DyPU,59.438,1110.08,21.91
AVOYg1rNlc5YzlM8MjfU,56.325,966.61,62.93
AVOf6j4QkRxG9-ZgWdbG,60.695,809.58,15.34
AVOk9Ytqfb36rNi23jhC,55.282,902.64,35.47
AVOlLGoSfb36rNi23jhE,58.464,767.9,22.81
AVOFp9Rx8L8TTYaU6WLP,54.949,520.56,13.09
AVOFu5i-l2ufvfD47IUM,66.543,698.21,18.59
AVOFGFtPyPAVaYFl9RkH,95.585,285.55,0
AVOF2BYFl2ufvfD47IUS,68.46,722.57,0
AVO41ZEZUrgJ6PzmvRhR,66.488,1101.9,24.76
AVOoEi32g_BfZfoZ9q8W,69.544,452.56,10.79
AVO5fxafvL-Oy8C5h1Fs,52.811,863.58,35.34
AVOpd0pTAT38Dxf03J2B,54.361,516.9,31.43
AVOqcDmuxpxD3bqhifqu,95.893,631.29,0
AVO5BUqeUrgJ6PzmvRhT,51.719,532.14,16.22
AVO5qnYYvL-Oy8C5h1Fx,53.429,587.38,35.49
AVPC5LbtLjzBw7Rwx1tc,89.584,402.8,0
AVOpW9v7AT38Dxf03J2A,60.01,607.26,28.77
AVTEYltmQz7Uzf_a4P-T,51.124,1199.17,72.42
AVRmudjrdIivaTilU-ZK,52.986,1166.81,65.22
AVRtKHwryguOH7xPwvtB,55.888,1003.63,51.57
AVS2AfIwYQzcAIYxSsz_,74.064,684.53,71.02
AVRop1WpGcnKEtmAm6ea,94.403,446.3,56.86
AVRpMKIpGcnKEtmAm6ei,60.376,455.35,58.65
AVPDbegILjzBw7Rwx1th,55.902,537.21,20.31
AVRmge37Z81GgHf14_S4,60.781,453.57,40.62
AVRpFPrVGcnKEtmAm6eh,57.459,594.34,68.6
AVTJgLK4IIvlMi54dHrw,53.052,1076.91,25.34
AVTJiN-7IIvlMi54dHr2,117.744,487.53,36.34
AVTfh1tUm2ogp-tAuM4r,120.335,333.11,66.78
AVTJv8SJIIvlMi54dHr6,58.258,746.21,29.63
AVTo3Uol9kdnGm4-yPqB,63.215,422.91,27.38
AVT4T61TS8MWVvzKrcm1,54.387,712.32,68.19
AVT4az5mS8MWVvzKrcm3,62.952,754.24,58.88
AVTSoWsIgdb4FXxv_3X_,68.239,616.26,43.69
AVT4vbisS8MWVvzKrcm8,85.736,429.22,44.54
AVT49Q3AS8MWVvzKrcm_,78.517,638.19,57.78
AVT79dvuOpxj9MJw072D,114.038,1072.56,52.59
